,school,date,count,school_year
369,UF,2010-09-15,0,2010-2011
370,UF,2010-09-16,1,2010-2011
371,UF,2010-09-17,1,2010-2011
372,UF,2010-09-20,0,2010-2011
373,UF,2010-09-21,1,2010-2011
374,UF,2010-09-22,1,2010-2011
375,UF,2010-09-23,0,2010-2011
376,UF,2010-09-24,0,2010-2011
377,UF,2010-09-27,0,2010-2011
378,UF,2010-09-28,0,2010-2011
379,UF,2010-09-29,0,2010-2011
380,UF,2010-09-30,1,2010-2011
381,UF,2010-10-01,1,2010-2011
382,UF,2010-10-04,0,2010-2011
383,UF,2010-10-05,1,2010-2011
384,UF,2010-10-06,0,2010-2011
385,UF,2010-10-07,0,2010-2011
386,UF,2010-10-08,0,2010-2011
387,UF,2010-10-11,0,2010-2011
388,UF,2010-10-12,0,2010-2011
389,UF,2010-10-13,0,2010-2011
390,UF,2010-10-14,1,2010-2011
391,UF,2010-10-15,0,2010-2011
392,UF,2010-10-18,0,2010-2011
393,UF,2010-10-19,0,2010-2011
394,UF,2010-10-20,0,2010-2011
395,UF,2010-10-21,0,2010-2011
396,UF,2010-10-22,0,2010-2011
397,UF,2010-10-25,0,2010-2011
398,UF,2010-10-26,1,2010-2011
399,UF,2010-10-27,0,2010-2011
400,UF,2010-10-28,1,2010-2011
401,UF,2010-10-29,1,2010-2011
402,UF,2010-11-01,1,2010-2011
403,UF,2010-11-02,0,2010-2011
404,UF,2010-11-03,0,2010-2011
405,UF,2010-11-04,0,2010-2011
406,UF,2010-11-05,0,2010-2011
407,UF,2010-11-08,0,2010-2011
408,UF,2010-11-09,1,2010-2011
409,UF,2010-11-10,1,2010-2011
410,UF,2010-11-12,1,2010-2011
411,UF,2010-11-15,1,2010-2011
412,UF,2010-11-16,0,2010-2011
413,UF,2010-11-17,0,2010-2011
414,UF,2010-11-18,1,2010-2011
415,UF,2010-11-19,1,2010-2011
416,UF,2010-11-22,0,2010-2011
417,UF,2010-11-23,0,2010-2011
418,UF,2010-11-24,0,2010-2011
419,UF,2010-11-29,0,2010-2011
420,UF,2010-11-30,0,2010-2011
421,UF,2010-12-01,1,2010-2011
422,UF,2010-12-02,0,2010-2011
423,UF,2010-12-03,0,2010-2011
424,UF,2010-12-06,1,2010-2011
425,UF,2010-12-07,1,2010-2011
426,UF,2010-12-08,0,2010-2011
427,UF,2010-12-09,0,2010-2011
428,UF,2011-01-05,0,2010-2011
429,UF,2011-01-06,0,2010-2011
430,UF,2011-01-07,0,2010-2011
431,UF,2011-01-10,0,2010-2011
432,UF,2011-01-11,0,2010-2011
433,UF,2011-01-12,0,2010-2011
434,UF,2011-01-13,0,2010-2011
435,UF,2011-01-14,0,2010-2011
436,UF,2011-01-18,0,2010-2011
437,UF,2011-01-19,0,2010-2011
438,UF,2011-01-20,0,2010-2011
439,UF,2011-01-21,0,2010-2011
440,UF,2011-01-24,0,2010-2011
441,UF,2011-01-25,1,2010-2011
442,UF,2011-01-26,0,2010-2011
443,UF,2011-01-27,0,2010-2011
444,UF,2011-01-28,0,2010-2011
445,UF,2011-02-01,0,2010-2011
446,UF,2011-02-02,0,2010-2011
447,UF,2011-02-03,0,2010-2011
448,UF,2011-02-04,0,2010-2011
449,UF,2011-02-07,0,2010-2011
450,UF,2011-02-08,0,2010-2011
451,UF,2011-02-09,0,2010-2011
452,UF,2011-02-10,0,2010-2011
453,UF,2011-02-11,0,2010-2011
454,UF,2011-02-14,0,2010-2011
455,UF,2011-02-15,0,2010-2011
456,UF,2011-02-16,0,2010-2011
457,UF,2011-02-17,0,2010-2011
458,UF,2011-02-18,0,2010-2011
459,UF,2011-02-21,0,2010-2011
460,UF,2011-02-22,0,2010-2011
461,UF,2011-02-23,0,2010-2011
462,UF,2011-02-24,0,2010-2011
463,UF,2011-02-25,0,2010-2011
464,UF,2011-02-28,0,2010-2011
465,UF,2011-03-01,1,2010-2011
466,UF,2011-03-02,0,2010-2011
467,UF,2011-03-03,1,2010-2011
468,UF,2011-03-04,0,2010-2011
469,UF,2011-03-14,1,2010-2011
470,UF,2011-03-15,0,2010-2011
471,UF,2011-03-16,0,2010-2011
472,UF,2011-03-17,0,2010-2011
473,UF,2011-03-18,0,2010-2011
474,UF,2011-03-21,0,2010-2011
475,UF,2011-03-22,0,2010-2011
476,UF,2011-03-23,0,2010-2011
477,UF,2011-03-24,1,2010-2011
