school,date,count,school_year,month
LIU,2013-12-04,0,2013-2014,2013-12
LIU,2013-01-30,0,2012-2013,2013-01
LIU,2013-02-13,0,2012-2013,2013-02
LIU,2013-02-20,0,2012-2013,2013-02
LIU,2013-02-21,0,2012-2013,2013-02
LIU,2013-02-27,0,2012-2013,2013-02
LIU,2013-02-28,0,2012-2013,2013-02
LIU,2013-02-06,0,2012-2013,2013-02
LIU,2013-03-20,0,2012-2013,2013-03
LIU,2013-03-27,0,2012-2013,2013-03
LIU,2013-03-06,0,2012-2013,2013-03
LIU,2013-04-10,0,2012-2013,2013-04
LIU,2013-04-17,0,2012-2013,2013-04
LIU,2013-04-24,0,2012-2013,2013-04
LIU,2013-04-27,0,2012-2013,2013-04
LIU,2013-04-03,0,2012-2013,2013-04
LIU,2013-09-01,0,2013-2014,2013-09
LIU,2013-09-13,0,2013-2014,2013-09
LIU,2013-09-18,0,2013-2014,2013-09
LIU,2013-09-02,0,2013-2014,2013-09
LIU,2013-09-25,0,2013-2014,2013-09
LIU,2014-10-01,0,2014-2015,2014-10
LIU,2014-10-14,0,2014-2015,2014-10
LIU,2014-10-15,0,2014-2015,2014-10
LIU,2014-10-21,0,2014-2015,2014-10
LIU,2014-10-28,0,2014-2015,2014-10
LIU,2014-10-29,0,2014-2015,2014-10
LIU,2014-10-08,0,2014-2015,2014-10
LIU,2014-11-11,0,2014-2015,2014-11
LIU,2014-11-18,0,2014-2015,2014-11
LIU,2014-11-24,0,2014-2015,2014-11
LIU,2014-11-25,0,2014-2015,2014-11
LIU,2014-11-04,0,2014-2015,2014-11
LIU,2014-11-05,0,2014-2015,2014-11
LIU,2014-12-12,0,2014-2015,2014-12
LIU,2014-12-19,0,2014-2015,2014-12
LIU,2014-12-29,0,2014-2015,2014-12
LIU,2014-12-03,0,2014-2015,2014-12
LIU,2014-01-29,0,2013-2014,2014-01
LIU,2014-02-13,0,2013-2014,2014-02
LIU,2014-02-19,0,2013-2014,2014-02
LIU,2014-02-25,1,2013-2014,2014-02
LIU,2014-02-05,0,2013-2014,2014-02
LIU,2014-03-18,0,2013-2014,2014-03
LIU,2014-03-19,1,2013-2014,2014-03
LIU,2014-03-25,0,2013-2014,2014-03
LIU,2014-03-04,0,2013-2014,2014-03
LIU,2014-03-05,0,2013-2014,2014-03
LIU,2014-04-01,0,2013-2014,2014-04
LIU,2014-04-14,0,2013-2014,2014-04
LIU,2014-04-15,0,2013-2014,2014-04
LIU,2014-04-16,0,2013-2014,2014-04
LIU,2014-04-02,0,2013-2014,2014-04
LIU,2014-04-22,0,2013-2014,2014-04
LIU,2014-04-23,0,2013-2014,2014-04
LIU,2014-04-30,0,2013-2014,2014-04
LIU,2014-04-08,0,2013-2014,2014-04
LIU,2014-05-14,0,2013-2014,2014-05
LIU,2014-06-09,0,2013-2014,2014-06
LIU,2014-09-10,0,2014-2015,2014-09
LIU,2014-09-17,0,2014-2015,2014-09
LIU,2014-09-23,0,2014-2015,2014-09
LIU,2014-09-30,0,2014-2015,2014-09
LIU,2015-10-13,1,2015-2016,2015-10
LIU,2015-10-20,0,2015-2016,2015-10
LIU,2015-10-27,1,2015-2016,2015-10
LIU,2015-10-06,0,2015-2016,2015-10
LIU,2015-10-07,0,2015-2016,2015-10
LIU,2015-11-10,0,2015-2016,2015-11
LIU,2015-11-17,1,2015-2016,2015-11
LIU,2015-11-03,0,2015-2016,2015-11
LIU,2015-12-01,0,2015-2016,2015-12
LIU,2015-12-03,0,2015-2016,2015-12
LIU,2015-12-08,0,2015-2016,2015-12
LIU,2015-12-09,0,2015-2016,2015-12
LIU,2015-01-11,0,2014-2015,2015-01
LIU,2015-01-13,0,2014-2015,2015-01
LIU,2015-01-15,0,2014-2015,2015-01
LIU,2015-01-27,0,2014-2015,2015-01
LIU,2015-02-11,0,2014-2015,2015-02
LIU,2015-02-17,0,2014-2015,2015-02
LIU,2015-02-18,0,2014-2015,2015-02
LIU,2015-02-24,0,2014-2015,2015-02
LIU,2015-02-03,0,2014-2015,2015-02
LIU,2015-02-04,0,2014-2015,2015-02
LIU,2015-03-17,0,2014-2015,2015-03
LIU,2015-03-18,0,2014-2015,2015-03
LIU,2015-03-25,0,2014-2015,2015-03
LIU,2015-03-03,0,2014-2015,2015-03
LIU,2015-03-31,0,2014-2015,2015-03
LIU,2015-04-14,0,2014-2015,2015-04
LIU,2015-04-22,0,2014-2015,2015-04
LIU,2015-04-30,0,2014-2015,2015-04
LIU,2015-04-07,0,2014-2015,2015-04
LIU,2015-04-08,0,2014-2015,2015-04
