school,date,count,school_year,month
McGill,2013-09-16,1,2013-2014,2013-09
McGill,2013-09-18,0,2013-2014,2013-09
McGill,2013-09-22,0,2013-2014,2013-09
McGill,2013-09-23,1,2013-2014,2013-09
McGill,2013-09-24,0,2013-2014,2013-09
McGill,2013-09-25,0,2013-2014,2013-09
McGill,2013-09-28,0,2013-2014,2013-09
McGill,2013-09-29,0,2013-2014,2013-09
McGill,2013-09-30,1,2013-2014,2013-09
McGill,2013-10-02,0,2013-2014,2013-10
McGill,2013-10-03,1,2013-2014,2013-10
McGill,2013-10-06,0,2013-2014,2013-10
McGill,2013-10-07,1,2013-2014,2013-10
McGill,2013-10-11,1,2013-2014,2013-10
McGill,2013-10-14,0,2013-2014,2013-10
McGill,2013-10-16,0,2013-2014,2013-10
McGill,2013-10-17,1,2013-2014,2013-10
McGill,2013-10-19,1,2013-2014,2013-10
McGill,2013-10-20,0,2013-2014,2013-10
McGill,2013-10-21,1,2013-2014,2013-10
McGill,2013-10-23,0,2013-2014,2013-10
McGill,2013-10-24,0,2013-2014,2013-10
McGill,2013-10-26,0,2013-2014,2013-10
McGill,2013-10-28,1,2013-2014,2013-10
McGill,2013-10-30,1,2013-2014,2013-10
McGill,2013-11-02,0,2013-2014,2013-11
McGill,2013-11-04,1,2013-2014,2013-11
McGill,2013-11-05,1,2013-2014,2013-11
McGill,2013-11-08,0,2013-2014,2013-11
McGill,2013-11-09,0,2013-2014,2013-11
McGill,2013-11-11,1,2013-2014,2013-11
McGill,2013-11-13,1,2013-2014,2013-11
McGill,2013-11-15,0,2013-2014,2013-11
McGill,2013-11-18,1,2013-2014,2013-11
McGill,2013-11-19,0,2013-2014,2013-11
McGill,2013-11-24,1,2013-2014,2013-11
McGill,2013-11-25,0,2013-2014,2013-11
McGill,2013-12-06,1,2013-2014,2013-12
McGill,2013-12-08,1,2013-2014,2013-12
McGill,2014-01-09,0,2013-2014,2014-01
McGill,2014-01-13,0,2013-2014,2014-01
McGill,2014-01-20,0,2013-2014,2014-01
McGill,2014-01-22,1,2013-2014,2014-01
McGill,2014-01-24,0,2013-2014,2014-01
McGill,2014-01-25,0,2013-2014,2014-01
McGill,2014-01-27,1,2013-2014,2014-01
McGill,2014-02-02,0,2013-2014,2014-02
McGill,2014-02-03,1,2013-2014,2014-02
McGill,2014-02-05,0,2013-2014,2014-02
McGill,2014-02-08,0,2013-2014,2014-02
McGill,2014-02-10,1,2013-2014,2014-02
McGill,2014-02-17,1,2013-2014,2014-02
McGill,2014-02-18,0,2013-2014,2014-02
McGill,2014-02-21,0,2013-2014,2014-02
McGill,2014-02-24,1,2013-2014,2014-02
McGill,2014-02-27,0,2013-2014,2014-02
McGill,2014-03-05,1,2013-2014,2014-03
McGill,2014-03-06,0,2013-2014,2014-03
McGill,2014-03-13,1,2013-2014,2014-03
McGill,2014-03-15,0,2013-2014,2014-03
McGill,2014-03-17,1,2013-2014,2014-03
McGill,2014-03-21,0,2013-2014,2014-03
McGill,2014-03-24,1,2013-2014,2014-03
McGill,2014-03-25,1,2013-2014,2014-03
McGill,2014-03-28,0,2013-2014,2014-03
McGill,2014-03-31,1,2013-2014,2014-03
McGill,2014-04-01,0,2013-2014,2014-04
McGill,2014-04-03,1,2013-2014,2014-04
McGill,2014-04-04,0,2013-2014,2014-04
McGill,2014-04-07,0,2013-2014,2014-04
McGill,2014-04-08,0,2013-2014,2014-04
McGill,2014-04-15,0,2013-2014,2014-04
McGill,2014-04-29,0,2013-2014,2014-04
McGill,2014-05-03,0,2013-2014,2014-05
McGill,2014-05-08,1,2013-2014,2014-05
McGill,2014-05-09,1,2013-2014,2014-05
McGill,2014-05-17,0,2013-2014,2014-05
