school,date,count,school_year,month
York,2012-03-28,0,2011-2012,2012-03
York,2012-03-29,0,2011-2012,2012-03
York,2012-03-31,0,2011-2012,2012-03
York,2012-04-01,0,2011-2012,2012-04
York,2012-04-02,0,2011-2012,2012-04
York,2012-04-04,0,2011-2012,2012-04
York,2012-04-14,0,2011-2012,2012-04
York,2012-04-29,0,2011-2012,2012-04
York,2012-05-29,0,2011-2012,2012-05
York,2012-05-30,0,2011-2012,2012-05
York,2012-05-31,0,2011-2012,2012-05
York,2012-06-04,0,2011-2012,2012-06
York,2012-06-05,1,2011-2012,2012-06
York,2012-06-08,0,2011-2012,2012-06
York,2012-06-21,0,2011-2012,2012-06
York,2012-06-26,0,2011-2012,2012-06
York,2012-07-06,0,2011-2012,2012-07
York,2012-07-09,0,2011-2012,2012-07
York,2012-07-13,0,2011-2012,2012-07
York,2012-07-18,0,2011-2012,2012-07
York,2012-08-29,0,2012-2013,2012-08
York,2012-08-30,0,2012-2013,2012-08
York,2012-09-26,0,2012-2013,2012-09
York,2012-09-29,0,2012-2013,2012-09
York,2012-10-11,0,2012-2013,2012-10
York,2012-10-13,0,2012-2013,2012-10
York,2012-10-14,0,2012-2013,2012-10
York,2012-10-15,0,2012-2013,2012-10
York,2012-10-16,0,2012-2013,2012-10
York,2012-11-14,0,2012-2013,2012-11
York,2012-11-21,0,2012-2013,2012-11
York,2012-11-28,0,2012-2013,2012-11
York,2012-11-30,0,2012-2013,2012-11
York,2012-12-04,0,2012-2013,2012-12
York,2012-12-05,0,2012-2013,2012-12
York,2012-12-06,0,2012-2013,2012-12
York,2012-12-30,0,2012-2013,2012-12
York,2013-01-23,0,2012-2013,2013-01
York,2013-01-28,0,2012-2013,2013-01
York,2013-01-31,0,2012-2013,2013-01
York,2013-02-13,0,2012-2013,2013-02
York,2013-02-19,1,2012-2013,2013-02
York,2013-02-20,0,2012-2013,2013-02
York,2013-02-23,0,2012-2013,2013-02
York,2013-02-27,0,2012-2013,2013-02
York,2013-03-11,0,2012-2013,2013-03
York,2013-03-13,0,2012-2013,2013-03
York,2013-03-14,0,2012-2013,2013-03
York,2013-03-25,0,2012-2013,2013-03
York,2013-03-27,0,2012-2013,2013-03
York,2013-04-01,0,2012-2013,2013-04
York,2013-04-15,0,2012-2013,2013-04
York,2013-04-18,0,2012-2013,2013-04
York,2013-05-22,0,2012-2013,2013-05
York,2013-05-23,0,2012-2013,2013-05
York,2013-05-24,0,2012-2013,2013-05
York,2013-07-03,0,2012-2013,2013-07
York,2013-07-12,0,2012-2013,2013-07
York,2013-07-26,0,2012-2013,2013-07
York,2013-08-29,0,2013-2014,2013-08
York,2013-08-30,0,2013-2014,2013-08
York,2013-09-25,0,2013-2014,2013-09
York,2013-09-26,0,2013-2014,2013-09
York,2013-09-27,0,2013-2014,2013-09
York,2013-09-29,0,2013-2014,2013-09
York,2013-09-30,0,2013-2014,2013-09
York,2013-10-31,0,2013-2014,2013-10
York,2013-11-27,0,2013-2014,2013-11
York,2013-12-09,0,2013-2014,2013-12
York,2013-12-11,0,2013-2014,2013-12
York,2014-01-29,0,2013-2014,2014-01
York,2014-01-30,0,2013-2014,2014-01
York,2014-01-31,0,2013-2014,2014-01
York,2014-02-26,0,2013-2014,2014-02
York,2014-03-26,0,2013-2014,2014-03
York,2014-03-31,0,2013-2014,2014-03
York,2014-04-02,0,2013-2014,2014-04
York,2014-04-11,0,2013-2014,2014-04
York,2014-04-22,0,2013-2014,2014-04
York,2014-05-21,0,2013-2014,2014-05
York,2014-05-22,0,2013-2014,2014-05
York,2014-08-27,0,2014-2015,2014-08
York,2015-09-25,0,2015-2016,2015-09
York,2015-09-29,0,2015-2016,2015-09
York,2015-09-30,0,2015-2016,2015-09
York,2015-10-25,0,2015-2016,2015-10
York,2015-10-26,0,2015-2016,2015-10
York,2015-10-27,0,2015-2016,2015-10
York,2015-10-28,0,2015-2016,2015-10
York,2015-10-31,0,2015-2016,2015-10
York,2015-11-27,0,2015-2016,2015-11
York,2015-12-11,0,2015-2016,2015-12
York,2015-12-16,0,2015-2016,2015-12
York,2016-01-29,0,2015-2016,2016-01
York,2016-01-30,0,2015-2016,2016-01
York,2016-01-31,0,2015-2016,2016-01
York,2016-02-26,0,2015-2016,2016-02
York,2016-02-27,0,2015-2016,2016-02
York,2016-02-29,0,2015-2016,2016-02
York,2016-03-30,0,2015-2016,2016-03
York,2016-03-31,1,2015-2016,2016-03
York,2016-04-01,0,2015-2016,2016-04
York,2016-04-02,0,2015-2016,2016-04
York,2016-05-19,0,2015-2016,2016-05
York,2016-05-20,0,2015-2016,2016-05
York,2016-05-23,0,2015-2016,2016-05
York,2016-05-25,0,2015-2016,2016-05
York,2016-05-27,0,2015-2016,2016-05
